"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Thailand,18.9,18,17.2,15.6,12.9,12.9,11.8,12.3,13.8,13.9,12.4,12.9,13.7,13.1,15,,14.8,13.9,10.2,9.6,11.6,9.9,11.2,,,,,,,,,,,,,,, 
Trinidad and Tobago,,,,,,117.1,121.5,108.8,117.8,118.4,114.4,125.1,129,136.8,125.1,136.3,134.7,140.1,,,,,,,,,,,,,,,,,,,, 
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkey,,25,25.6,27.5,27.5,29.1,29.4,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkmenistan,,17.6,16.9,14.7,15.3,14.5,16.5,17.6,33.6,14.8,14.2,15.8,16.9,15.4,15.3,12.6,15.2,12.8,,,,,,,,,,,,,,,,,,,, 
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ukraine,,3.5,3.6,,3.9,4,4.2,4.3,4.4,4.9,5.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Kingdom,,6.6,6.3,6.1,6.1,6,6.7,6.7,7.1,7.2,7.2,7.4,7.7,8.2,8.1,8,0.8,,,,,,,,,,,,,,,,,,,,, 
United States of America,21.5,21.5,20.9,20.5,20.2,20.5,19.7,20,20.6,20.7,21.1,22.2,21.7,22.5,22.5,22.3,22.2,22.3,,,,,,,,,,,,,,,,,,,, 
Uruguay,,19.6,19.3,18.4,18.2,,17.3,17.1,16.2,17.9,17,17.5,19.4,18.1,16.5,17.9,17.2,18.1,17.2,16.2,,,,,,,,,,,,,,,,,, 
Uzbekistan,,,24.8,24.1,24.8,22.5,22.8,22.1,,,,23.5,22.7,,,,,,,,,,,,,,,,,,,,,,,,, 
Venezuela (Bolivarian Republic of),,,,52.9,50.6,49.8,50.4,48,47.8,46.6,45,48.2,50.3,53.2,48.1,50.7,49.6,51,46.3,47.1,47.3,,,,,,,,,,,,,,,,, 
Virgin Islands (USA),,24.3,,,26.7,37.5,35.4,36.5,37.7,33.2,34.8,34.7,31.1,37.4,30.5,32.7,40.1,48.9,,,,,,,,,,,,,,,,,,,, 
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Total reporting countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
