"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Singapore,,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0,0.1,0.2,0.2,0.4,0.1,0.2,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.3,0.4,0.4,0.1,0.1,0.3 
Slovakia,,,0.1,0,0.1,,0,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0,0.2,0.2,0,0.1,0.2,0.2,0.4,0,,,,,,,,,,,,, 
Slovenia,,0.1,0.2,0.1,0.1,0.1,0,0.1,0.2,0.4,0.3,0.1,0.2,0,0,0.3,0.2,0.2,0,0.2,0.3,0.1,0,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.5,0.3,,,,,, 
South Africa,,3.2,3.5,3.3,3.7,4.4,6,6.9,6.7,6.6,5.2,4.7,4.5,3.5,3.1,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4, 
Sri Lanka,,,,,,,,,,,0.5,,,0.7,0.6,0.6,0.8,0.6,0.9,1.2,0.7,,,,,,,,,,2,2.5,2.2,3,3.2,3.6,4.1, 
Suriname,,,2.6,4.1,0.8,2.7,2.2,4.3,3.5,4.2,3.2,1.6,2.7,3.6,5.3,4.1,3.8,1.6,2.9,2,1.3,0.4,,,4.7,2.8,0.4,1.4,2.8,1.3,3.5,3.8,5.5,,7.8,4.7,5.9,4.5 
Sweden,0.1,0,0.1,0.2,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0.2,0,0.1,0.1,0.1,0.3,0.1,,,,,,,, 
Switzerland,,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.2,,,,,,,,,,,,,,,, 
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,,0.1,0.1,0.1,0.2,0.1,0,0,0.1,0.3,0.3,0.1,0.3,0.4,0.4,0.2,0.1,0.1,0,0.7,0.4,0.2,0.3,0.4,,,,,,,,,,,, 
