"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Portugal,,,107.9,105.2,111.2,111.3,122.6,126.9,132.4,137.6,,,,186,190,192.1,199.4,212.1,221.1,225.4,245.1,246.1,249.5,277.9,271.4,291.3,292.5,277.9,299.6,299.4,305.1,322.4,328.8,331.1,319.6,338.7,361.6, 
Puerto Rico,,99.4,106.4,106.8,109.4,115.2,114.8,119.2,120.8,128.9,132.4,139.9,139.8,141.6,141.4,155.7,150.7,163.9,179.8,178.1,181.6,187,186,192.9,200,225,242.6,255.1,272.2,270,253.9,275.8,257.8,248.5,271.1,268.2,266.5,323.6 
Qatar,107.3,66.5,86.2,58.1,62.5,68.8,96.3,98.8,131.5,119.8,173.3,191.9,149.2,,,299.6,,,,,,241.6,,,,,,,,,,,,,,,, 
Republic of Korea,,73,75,78.4,85.6,87.2,90.3,91.9,99,108.6,110.7,116,125.1,135,144.5,140.9,147.5,150,155.3,157.2,170.8,191.9,239,227.9,216.6,205.1,210,210.6,218.6,237.5,248.8,266.2,,,,,, 
Republic of Moldova,442.2,474.8,477.7,469.5,494.1,498,549.1,535.7,537.1,561.4,587.7,641.1,602.3,639.7,631.4,606.8,622.2,620.4,579.3,618.7,594.3,567,508.9,441.6,410.6,452.5,438.8,481.1,537.8,543.9,549.3,635.8,,,585.9,622.8,, 
Reunion,,,90.2,98.2,104.3,113.8,131.1,131.3,129.8,137.5,164.5,175.8,170.2,173.3,182.6,177,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,330.5,346.6,343.4,347.8,370.9,378.6,400.5,407.6,415,429.8,459.5,479.1,482.3,511.2,519.2,492.9,497.8,537.5,546.9,567.1,594.7,559.8,553.3,563.5,561.6,544.2,526.8,531.1,560.3,569.7,542,574.3,564.4,571.1,537.6,539.5,573.7, 
Russian Federation,,368.8,392.7,414.6,443.6,464.5,508.7,515.4,546.4,555.2,588.9,630.7,629.1,655.2,630.9,608.9,602.8,585.3,544,554.4,569.8,602.2,643.1,595.8,508,494.6,501.5,497.3,515.7,516.6,511.5,552.9,559.4,529.8,513.2,527.4,540.5, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,190.8,182.3,169.7,134,195,173.9,182.2,,193.6,242.2,182.7,209,165.7,185.8,166.2,243.7,236.3,252.2,241.7,246.2,268.3,259.2,270.2,312.2,352,250.5,401.7,450.6,392.4,,,290.6,,246.9,295.7,349.1 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,266.6,367.8,304.9,292.2,329.5,304.6,312.6,343.2,284.1,253.9,282.1,237.6,273.4,264,254.7,228.3,293.5,324.6,309.9,285.8,311.3,,,,,279.9,,,260.7,415.8,410.7,231.9,219,201.8,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
